"","dataword","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"300","menikmati",0,0,0,0,0,0,0,0,0,0
"301","jadah",0,0,0,0,0,0,0,0,0,0
"302","tempe",0,0,0,0,0,0,0,0,0,0
"303","tongseng",0,0,0,0,0,0,0,0,0,0
"304","kelinciatau",0,0,0,0,0,0,0,0,0,0
"305","offroad",0,0,0,0,0,0,0,0,0,0
"306","ringan",0,0,0,0,0,0,0,0,0,0
"307","jarak",0,0,0,0,0,0,0,0,0,0
"308","harga",0,0,0,0,0,0,0,0,0,0
"309","berbeda",0,0,0,0,0,0,0,0,0,0
"310","merapi",0,0,0,0,0,0,0,0,0,0
"311","salah",0,0,0,0,0,0,0,0,0,0
"312","gunung",0,0,0,0,0,0,0,0,0,0
"313","aktif",0,0,0,0,0,0,0,0,0,0
"314","pulau",0,0,0,0,0,0,0,0,0,0
"315","jawa",0,0,0,0,0,0,0,0,0,0
"316","cerita",0,0,0,0,0,0,0,0,0,0
"317","tersendiri",0,0,0,0,0,0,0,0,0,0
"318","kejadian",0,0,0,0,0,0,0,0,0,0
"319","musibah",0,0,0,0,0,0,0,0,0,0
"320","erupsi",0,0,0,0,0,0,0,0,0,0
"321","silam",0,0,0,0,0,0,0,0,0,0
"322","gunung",0,0,0,0,0,0,0,0,0,0
"323","dikunjungi",0,0,0,0,0,0,0,0,0,0
"324","wisatawan",0,0,0,0,0,0,0,0,0,0
"325","penasaran",0,0,0,0,0,0,0,0,0,0
"326","tour",0,0,0,0,0,0,0,0,0,0
"327","mencoba",0,0,0,0,0,0,0,0,0,0
"328","salah",0,0,0,0,0,0,0,0,0,0
"329","operator",0,0,0,0,0,0,0,0,0,0
"330","tour",0,0,0,0,0,0,0,0,0,0
"331","betebaran",0,0,0,0,0,0,0,0,0,0
"332","lokasi",0,0,0,0,0,0,0,0,0,0
"333","mencari",0,0,0,0,0,0,0,0,0,0
"334","profesional",0,0,0,0,0,0,0,0,0,0
"335","langsung",0,0,0,0,0,0,0,0,0,0
"336","kepastian",0,0,0,0,0,0,0,0,0,0
"337","harganya",0,0,0,0,0,0,0,0,0,0
"338","percaya",0,0,0,0,0,0,0,0,0,0
"339","tercantum",0,0,0,0,0,0,0,0,0,0
"340","website",0,0,0,0,0,0,0,0,0,0
"341","disana",0,0,0,0,0,0,0,0,0,0
"342","menyertakan",0,0,0,0,0,0,0,0,0,0
"343","harga",0,0,0,0,0,0,0,0,0,0
"344","paketnya",0,0,0,0,0,0,0,0,0,0
"345","pesan",0,0,0,0,0,0,0,0,0,0
"346","online",0,0,0,0,0,0,0,0,0,0
"347","langsung",0,0,0,0,0,0,0,0,0,0
"348","merubah",0,0,0,0,0,0,0,0,0,0
"349","paket",0,0,0,0,0,0,0,0,0,0
"350","mestinya",0,0,0,0,0,0,0,0,0,0
"351","bayar",0,0,0,0,0,0,0,0,0,0
"352","rb",0,0,0,0,0,0,0,0,0,0
"353","utk",0,0,0,0,0,0,0,0,0,0
"354","short",0,0,0,0,0,0,0,0,0,0
"355","trip",0,0,0,0,0,0,1,0,0,0
"356","rb",0,0,0,0,0,0,0,0,0,0
"357","utk",0,0,0,0,0,0,0,0,0,0
"358","jam",0,0,0,0,0,0,0,0,0,1
"359","duduk",0,0,0,0,0,0,0,0,0,0
"360","punggung",0,0,0,0,0,0,0,0,0,0
"361","berumur",0,0,0,0,0,0,0,0,0,0
"362","disarankan",0,0,0,0,0,0,0,0,0,0
